region	sex	age_band	residence	count
Mazowieckie	female	40-44	private_household	239877
Mazowieckie	female	45-49	private_household	230167
Mazowieckie	female	50-54	private_household	193727
Mazowieckie	female	55-59	private_household	152297
Mazowieckie	female	60-64	private_household	148476
Mazowieckie	female	65-74	private_household	354522
Mazowieckie	female	75-89	private_household	257651
Mazowieckie	female	90+	private_household	34375
Mazowieckie	male	0-14	private_household	425212
Mazowieckie	male	15-17	private_household	97133
Mazowieckie	male	18-19	private_household	58166
Mazowieckie	male	20-24	private_household	127945
Mazowieckie	male	25-29	private_household	141299
Mazowieckie	male	30-34	private_household	180545
Mazowieckie	male	35-39	private_household	211200
Mazowieckie	male	40-44	private_household	236098
Mazowieckie	male	45-49	private_household	225111
Mazowieckie	male	50-54	private_household	188646
Mazowieckie	male	55-59	private_household	145142
Mazowieckie	male	60-64	private_household	132339
Mazowieckie	male	65-74	private_household	270095
Mazowieckie	male	75-89	private_household	145785
Mazowieckie	male	90+	private_household	12171
Małopolskie	female	0-14	private_household	248806
Małopolskie	female	15-17	private_household	56716
Małopolskie	female	18-19	private_household	33796
Małopolskie	female	20-24	private_household	79722
Małopolskie	female	25-29	private_household	94637
Małopolskie	female	30-34	private_household	119866
Małopolskie	female	35-39	private_household	131043
Małopolskie	female	40-44	private_household	141359
Małopolskie	female	45-49	private_household	130625
Małopolskie	female	50-54	private_household	114616
Małopolskie	female	55-59	private_household	99269
Małopolskie	female	60-64	private_household	98546
Małopolskie	female	65-74	private_household	205453
Małopolskie	female	75-89	private_household	153839
Małopolskie	female	90+	private_household	19579
Małopolskie	male	0-14	private_household	262760
Małopolskie	male	15-17	private_household	59544
Małopolskie	male	18-19	private_household	35032
Małopolskie	male	20-24	private_household	82768
Małopolskie	male	25-29	private_household	95805
Małopolskie	male	30-34	private_household	120647
Małopolskie	male	35-39	private_household	133699
Małopolskie	male	40-44	private_household	141835
Małopolskie	male	45-49	private_household	131036
Małopolskie	male	50-54	private_household	112068
Małopolskie	male	55-59	private_household	95814
Małopolskie	male	60-64	private_household	91220
Małopolskie	male	65-74	private_household	166457
Małopolskie	male	75-89	private_household	91330
Małopolskie	male	90+	private_household	7053
Opolskie	female	0-14	private_household	57480
Opolskie	female	15-17	private_household	13823
Opolskie	female	18-19	private_household	8321
Opolskie	female	20-24	private_household	19561
Opolskie	female	25-29	private_household	21730
Opolskie	female	30-34	private_household	26259
Opolskie	female	35-39	private_household	33882
Opolskie	female	40-44	private_household	38774
Opolskie	female	45-49	private_household	37186
Opolskie	female	50-54	private_household	33700
Opolskie	female	55-59	private_household	30518
Opolskie	female	60-64	private_household	31685
Opolskie	female	65-74	private_household	66050
Opolskie	female	75-89	private_household	47759
Opolskie	female	90+	private_household	5751
Opolskie	male	0-14	private_household	60656
Opolskie	male	15-17	private_household	14494
Opolskie	male	18-19	private_household	8835
Opolskie	male	20-24	private_household	20530
Opolskie	male	25-29	private_household	22593
Opolskie	male	30-34	private_household	27174
Opolskie	male	35-39	private_household	34196
Opolskie	male	40-44	private_household	38879
Opolskie	male	45-49	private_household	37368
Opolskie	male	50-54	private_household	33186
Opolskie	male	55-59	private_household	30166
Opolskie	male	60-64	private_household	30313
Opolskie	male	65-74	private_household	53435
Opolskie	male	75-89	private_household	27225
Opolskie	male	90+	private_household	2124
Podkarpackie	female	0-14	private_household	142830
Podkarpackie	female	15-17	private_household	34629
Podkarpackie	female	18-19	private_household	21156
Podkarpackie	female	20-24	private_household	50726
Podkarpackie	female	25-29	private_household	53718
Podkarpackie	female	30-34	private_household	61567
Podkarpackie	female	35-39	private_household	73913
Podkarpackie	female	40-44	private_household	83260
Podkarpackie	female	45-49	private_household	79396
Podkarpackie	female	50-54	private_household	71203
Podkarpackie	female	55-59	private_household	63476
Podkarpackie	female	60-64	private_household	64444
Podkarpackie	female	65-74	private_household	132164
Podkarpackie	female	75-89	private_household	96032
Podkarpackie	female	90+	private_household	12625
Podkarpackie	male	0-14	private_household	151352
Podkarpackie	male	15-17	private_household	36442
Podkarpackie	male	18-19	private_household	22054
Podkarpackie	male	20-24	private_household	53306
Podkarpackie	male	25-29	private_household	57751
Podkarpackie	male	30-34	private_household	66167
Podkarpackie	male	35-39	private_household	78469
Podkarpackie	male	40-44	private_household	85928
Podkarpackie	male	45-49	private_household	81103
Podkarpackie	male	50-54	private_household	71705
Podkarpackie	male	55-59	private_household	61335
Podkarpackie	male	60-64	private_household	61017
Podkarpackie	male	65-74	private_household	109094
Podkarpackie	male	75-89	private_household	57017
Podkarpackie	male	90+	private_household	4340
