region	size	composition	count
Pomorskie	1	other_multi_person	27201
Pomorskie	2	one_person	44245
Pomorskie	2	couple_with_dependent_children	122576
Pomorskie	2	other_multi_person	31263
Pomorskie	3	one_person	32842
Pomorskie	3	couple_with_dependent_children	90985
Pomorskie	3	other_multi_person	23205
Pomorskie	4	one_person	28247
Pomorskie	4	couple_with_dependent_children	78254
Pomorskie	4	other_multi_person	19958
Pomorskie	5	one_person	28519
Pomorskie	5	couple_with_dependent_children	79007
Pomorskie	5	other_multi_person	20150
Warmińsko-mazurskie	1	one_person	20986
Warmińsko-mazurskie	1	couple_with_dependent_children	61805
Warmińsko-mazurskie	1	other_multi_person	14589
Warmińsko-mazurskie	2	one_person	24813
Warmińsko-mazurskie	2	couple_with_dependent_children	73074
Warmińsko-mazurskie	2	other_multi_person	17249
Warmińsko-mazurskie	3	one_person	19256
Warmińsko-mazurskie	3	couple_with_dependent_children	56708
Warmińsko-mazurskie	3	other_multi_person	13386
Warmińsko-mazurskie	4	one_person	16028
Warmińsko-mazurskie	4	couple_with_dependent_children	47204
Warmińsko-mazurskie	4	other_multi_person	11143
Warmińsko-mazurskie	5	one_person	16297
Warmińsko-mazurskie	5	couple_with_dependent_children	47994
Warmińsko-mazurskie	5	other_multi_person	11329
Wielkopolskie	1	one_person	42449
Wielkopolskie	1	couple_with_dependent_children	136123
Wielkopolskie	1	other_multi_person	37131
Wielkopolskie	2	one_person	51444
Wielkopolskie	2	couple_with_dependent_children	164969
Wielkopolskie	2	other_multi_person	44999
Wielkopolskie	3	one_person	41814
Wielkopolskie	3	couple_with_dependent_children	134088
Wielkopolskie	3	other_multi_person	36575
Wielkopolskie	4	one_person	38534
Wielkopolskie	4	couple_with_dependent_children	123568
Wielkopolskie	4	other_multi_person	33706
Wielkopolskie	5	one_person	41462
Wielkopolskie	5	couple_with_dependent_children	132956
Wielkopolskie	5	other_multi_person	36267
Zachodniopomorskie	1	one_person	30758
Zachodniopomorskie	1	couple_with_dependent_children	83093
Zachodniopomorskie	1	other_multi_person	18873
Zachodniopomorskie	2	one_person	36014
Zachodniopomorskie	2	couple_with_dependent_children	97292
Zachodniopomorskie	2	other_multi_person	22098
Zachodniopomorskie	3	one_person	26829
Zachodniopomorskie	3	couple_with_dependent_children	72478
Zachodniopomorskie	3	other_multi_person	16462
Zachodniopomorskie	4	one_person	20841
Zachodniopomorskie	4	couple_with_dependent_children	56302
Zachodniopomorskie	4	other_multi_person	12787
Zachodniopomorskie	5	one_person	18282
Zachodniopomorskie	5	couple_with_dependent_children	49389
Zachodniopomorskie	5	other_multi_person	11218
Łódzkie	1	one_person	54234
Łódzkie	1	couple_with_dependent_children	128874
Łódzkie	1	other_multi_person	30683
Łódzkie	2	one_person	56372
Łódzkie	2	couple_with_dependent_children	133954
Łódzkie	2	other_multi_person	31893
Łódzkie	3	one_person	40195
Łódzkie	3	couple_with_dependent_children	95512
Łódzkie	3	other_multi_person	22740
Łódzkie	4	one_person	31844
Łódzkie	4	couple_with_dependent_children	75668
Łódzkie	4	other_multi_person	18016
Łódzkie	5	one_person	31147
Łódzkie	5	couple_with_dependent_children	74012
Łódzkie	5	other_multi_person	17621
Śląskie	1	one_person	84862
Śląskie	1	couple_with_dependent_children	223580
Śląskie	1	other_multi_person	51321
Śląskie	2	one_person	95992
Śląskie	2	couple_with_dependent_children	252906
Śląskie	2	other_multi_person	58053
Śląskie	3	one_person	70454
Śląskie	3	couple_with_dependent_children	185622
Śląskie	3	other_multi_person	42608
Śląskie	4	one_person	56055
Śląskie	4	couple_with_dependent_children	147686
Śląskie	4	other_multi_person	33900
Śląskie	5	one_person	52399
Śląskie	5	couple_with_dependent_children	138052
Śląskie	5	other_multi_person	31689
Świętokrzyskie	1	one_person	15239
Świętokrzyskie	1	couple_with_dependent_children	46455
Świętokrzyskie	1	other_multi_person	13476
Świętokrzyskie	2	one_person	17647
Świętokrzyskie	2	couple_with_dependent_children	53798
Świętokrzyskie	2	other_multi_person	15606
Świętokrzyskie	3	one_person	14164
Świętokrzyskie	3	couple_with_dependent_children	43179
Świętokrzyskie	3	other_multi_person	12525
Świętokrzyskie	4	one_person	12644
Świętokrzyskie	4	couple_with_dependent_children	38544
Świętokrzyskie	4	other_multi_person	11181
Świętokrzyskie	5	one_person	15476
Świętokrzyskie	5	couple_with_dependent_children	47177
Świętokrzyskie	5	other_multi_person	13685
