registered_seat_region	pkd2007_section	expected_workers_band	count
08	H	50-249	18
08	H	250=>	5
08	I	0-9	2927
08	I	10-49	108
08	I	50-249	2
08	I	250=>	2
08	J	0-9	2976
08	J	10-49	20
08	J	50-249	5
08	J	250=>	1
08	K	0-9	2659
08	K	10-49	20
08	K	50-249	10
08	K	250=>	0
08	L	0-9	12878
08	L	10-49	86
08	L	50-249	13
08	L	250=>	4
08	M	0-9	8297
08	M	10-49	81
08	M	50-249	6
08	M	250=>	2
08	N	0-9	3877
08	N	10-49	65
08	N	50-249	15
08	N	250=>	5
08	O	0-9	511
08	O	10-49	105
08	O	50-249	83
08	O	250=>	9
08	P	0-9	2882
08	P	10-49	524
08	P	50-249	171
08	P	250=>	2
08	Q	0-9	6774
08	Q	10-49	174
08	Q	50-249	45
08	Q	250=>	12
08	R	0-9	2003
08	R	10-49	79
08	R	50-249	10
08	R	250=>	0
08	S	0-9	10284
08	S	10-49	74
08	S	50-249	11
08	S	250=>	1
08	U	0-9	2
08	U	10-49	0
08	U	50-249	0
08	U	250=>	0
10	A	0-9	3564
10	A	10-49	61
10	A	50-249	14
10	A	250=>	1
10	B	0-9	216
10	B	10-49	8
10	B	50-249	2
10	B	250=>	0
10	C	0-9	20891
10	C	10-49	1655
10	C	50-249	364
10	C	250=>	74
10	D	0-9	643
10	D	10-49	15
10	D	50-249	13
10	D	250=>	4
10	E	0-9	618
10	E	10-49	71
10	E	50-249	27
10	E	250=>	2
10	F	0-9	28917
10	F	10-49	608
10	F	50-249	66
10	F	250=>	7
10	G	0-9	47561
10	G	10-49	1308
10	G	50-249	128
10	G	250=>	17
10	H	0-9	13189
10	H	10-49	238
10	H	50-249	39
10	H	250=>	5
10	I	0-9	5810
10	I	10-49	263
10	I	50-249	13
10	I	250=>	3
10	J	0-9	12227
10	J	10-49	84
10	J	50-249	9
10	J	250=>	2
10	K	0-9	6177
10	K	10-49	49
10	K	50-249	13
10	K	250=>	4
10	L	0-9	12422
10	L	10-49	238
10	L	50-249	56
10	L	250=>	3
10	M	0-9	24708
10	M	10-49	263
10	M	50-249	24
10	M	250=>	8
10	N	0-9	8631
10	N	10-49	198
10	N	50-249	46
10	N	250=>	17
10	O	0-9	1798
10	O	10-49	196
10	O	50-249	164
10	O	250=>	19
10	P	0-9	7722
10	P	10-49	1434
10	P	50-249	351
10	P	250=>	9
10	Q	0-9	18196
10	Q	10-49	406
10	Q	50-249	82
10	Q	250=>	33
10	R	0-9	4426
10	R	10-49	154
10	R	50-249	31
10	R	250=>	2
10	S	0-9	21632
10	S	10-49	204
10	S	50-249	21
10	S	250=>	2
10	U	0-9	7
10	U	10-49	0
