region	size	composition	count
Pomorskie	1	other_multi_person	29440
Pomorskie	2	one_person	47887
Pomorskie	2	couple_with_dependent_children	132668
Pomorskie	2	other_multi_person	33837
Pomorskie	3	one_person	35546
Pomorskie	3	couple_with_dependent_children	98476
Pomorskie	3	other_multi_person	25115
Pomorskie	4	one_person	30573
Pomorskie	4	couple_with_dependent_children	84697
Pomorskie	4	other_multi_person	21601
Pomorskie	5	one_person	30867
Pomorskie	5	couple_with_dependent_children	85512
Pomorskie	5	other_multi_person	21809
Warmińsko-mazurskie	1	one_person	22036
Warmińsko-mazurskie	1	couple_with_dependent_children	64846
Warmińsko-mazurskie	1	other_multi_person	15306
Warmińsko-mazurskie	2	one_person	26034
Warmińsko-mazurskie	2	couple_with_dependent_children	76670
Warmińsko-mazurskie	2	other_multi_person	18097
Warmińsko-mazurskie	3	one_person	20203
Warmińsko-mazurskie	3	couple_with_dependent_children	59498
Warmińsko-mazurskie	3	other_multi_person	14044
Warmińsko-mazurskie	4	one_person	16816
Warmińsko-mazurskie	4	couple_with_dependent_children	49527
Warmińsko-mazurskie	4	other_multi_person	11691
Warmińsko-mazurskie	5	one_person	17099
Warmińsko-mazurskie	5	couple_with_dependent_children	50356
Warmińsko-mazurskie	5	other_multi_person	11886
Wielkopolskie	1	one_person	45500
Wielkopolskie	1	couple_with_dependent_children	145846
Wielkopolskie	1	other_multi_person	39783
Wielkopolskie	2	one_person	55118
Wielkopolskie	2	couple_with_dependent_children	176752
Wielkopolskie	2	other_multi_person	48213
Wielkopolskie	3	one_person	44800
Wielkopolskie	3	couple_with_dependent_children	143665
Wielkopolskie	3	other_multi_person	39187
Wielkopolskie	4	one_person	41286
Wielkopolskie	4	couple_with_dependent_children	132394
Wielkopolskie	4	other_multi_person	36113
Wielkopolskie	5	one_person	44424
Wielkopolskie	5	couple_with_dependent_children	142453
Wielkopolskie	5	other_multi_person	38857
Zachodniopomorskie	1	one_person	31865
Zachodniopomorskie	1	couple_with_dependent_children	86044
Zachodniopomorskie	1	other_multi_person	19543
Zachodniopomorskie	2	one_person	37293
Zachodniopomorskie	2	couple_with_dependent_children	100747
Zachodniopomorskie	2	other_multi_person	22882
Zachodniopomorskie	3	one_person	27781
Zachodniopomorskie	3	couple_with_dependent_children	75052
Zachodniopomorskie	3	other_multi_person	17046
Zachodniopomorskie	4	one_person	21581
Zachodniopomorskie	4	couple_with_dependent_children	58302
Zachodniopomorskie	4	other_multi_person	13241
Zachodniopomorskie	5	one_person	18931
Zachodniopomorskie	5	couple_with_dependent_children	51143
